date	text
2022-05-01	68
2022-05-02	79
2022-05-03	68
2022-05-04	46
2022-05-05	67
2022-05-06	108
2022-05-07	310
2022-05-08	364
2022-05-09	245
2022-05-10	285
2022-05-11	259
2022-05-12	224
2022-05-13	309
2022-05-14	340
2022-05-15	89
